N, batch_size, limit, model_type, emb_size, num_layers, model_on_gpu, ratio_data, eval_gnn, eval_qor, total_items, time_spent, items_per_sec
6, 64, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19392, 29.72812056541443, 652.3116709423122
6, 64, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19392, 4.162393808364868, 4658.857593202563
6, 128, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19456, 32.986905097961426, 589.8098030785668
6, 128, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19456, 3.8148293495178223, 5100.0970731388425
6, 256, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19456, 33.324392557144165, 583.836598570766
6, 256, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19456, 4.412956237792969, 4408.835925762644
7, 1, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17622, 339.57075572013855, 51.89492823853003
7, 1, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17622, 209.11894941329956, 84.26782962251853
7, 2, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17622, 293.00443506240845, 60.14243435000089
7, 2, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17622, 105.42681050300598, 167.14913327950438
7, 4, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17624, 173.0964024066925, 101.81609643504986
7, 4, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17624, 52.93295979499817, 332.94945282212154
7, 8, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17624, 113.7935881614685, 154.87691604374277
7, 8, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17624, 26.741939544677734, 659.0397069201207
7, 16, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17632, 53.564215660095215, 329.1749871199114
7, 16, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17632, 13.60235333442688, 1296.2462866902806
7, 32, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17632, 37.621476888656616, 468.6684696664922
7, 32, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17632, 6.929790735244751, 2544.376976684746
7, 64, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17664, 37.794482946395874, 467.36980169970707
7, 64, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17664, 4.647097826004028, 3801.0820218065037
7, 128, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17664, 40.30448389053345, 438.26389262235034
7, 128, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17664, 5.004945755004883, 3529.3089804891933
7, 256, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 17664, 43.71300768852234, 404.09024530787457
7, 256, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 17664, 5.89234185218811, 2997.7894092211413
